id;serial;valor;created_at;updated_at
1;l6moamk62i;5832.9;2022-07-27 13:04:55.218554;2022-07-27 13:04:55.218554
2;o2z6dwoyn2;7499.93;2022-07-27 13:04:55.237116;2022-07-27 13:04:55.237116
3;rq1vxkyam6;3313.14;2022-07-27 13:04:55.268304;2022-07-27 13:04:55.268304
4;8ruv83pbvn;6729.0;2022-07-27 13:04:55.298781;2022-07-27 13:04:55.298781
5;bra5wsi0bn;8710.99;2022-07-27 13:04:55.330629;2022-07-27 13:04:55.330629
6;5aelhdk57k;8113.42;2022-07-27 13:04:55.362975;2022-07-27 13:04:55.362975
7;vk18ris8b3;6356.66;2022-07-27 13:04:55.395321;2022-07-27 13:04:55.395321
8;dx4vqoqlg6;4343.96;2022-07-27 13:04:55.424608;2022-07-27 13:04:55.424608
9;2id5m9woy9;12425.2;2022-07-27 13:04:55.448656;2022-07-27 13:04:55.448656
10;1txfbqlmjx;8789.56;2022-07-27 13:04:55.473617;2022-07-27 13:04:55.473617
11;q5ctzho683;9419.67;2022-07-27 13:04:55.496551;2022-07-27 13:04:55.496551
12;dc7jfwmhdg;8910.37;2022-07-27 13:04:55.519684;2022-07-27 13:04:55.519684
13;xxkprix1io;9262.36;2022-07-27 13:04:55.535754;2022-07-27 13:04:55.535754
14;2qz6p4j33o;8042.7;2022-07-27 13:04:55.558603;2022-07-27 13:04:55.558603
15;nlt2mmcph5;7921.92;2022-07-27 13:04:55.584852;2022-07-27 13:04:55.584852
16;4a17e5ugib;7062.8;2022-07-27 13:04:55.625749;2022-07-27 13:04:55.625749
17;hbie8fz8fc;7814.98;2022-07-27 13:04:55.660735;2022-07-27 13:04:55.660735
18;7oxuppyf29;3616.33;2022-07-27 13:04:55.699454;2022-07-27 13:04:55.699454
19;ku815x1g9o;5819.37;2022-07-27 13:04:55.737573;2022-07-27 13:04:55.737573
20;ighgrg1ga4;9778.95;2022-07-27 13:04:55.761488;2022-07-27 13:04:55.761488
21;8fy9mwqmrd;5269.98;2022-07-27 13:04:55.789688;2022-07-27 13:04:55.789688
22;0z2kwrb0ly;5969.76;2022-07-27 13:04:55.814786;2022-07-27 13:04:55.814786
23;xpzner2ph8;7400.29;2022-07-27 13:04:55.835083;2022-07-27 13:04:55.835083
24;x2ehi8ta8j;5965.67;2022-07-27 13:04:55.852320;2022-07-27 13:04:55.852320
25;bzg9331kuj;8747.55;2022-07-27 13:04:55.868940;2022-07-27 13:04:55.868940
26;lhifxq269d;6694.32;2022-07-27 13:04:55.884020;2022-07-27 13:04:55.884020
27;pgd1vvjb6o;9716.21;2022-07-27 13:04:55.900301;2022-07-27 13:04:55.900301
28;symycruidx;4554.59;2022-07-27 13:04:55.917723;2022-07-27 13:04:55.917723
29;vozdmn16ef;10875.2;2022-07-27 13:04:55.932572;2022-07-27 13:04:55.932572
30;2yt1zxxk58;7907.19;2022-07-27 13:04:55.948548;2022-07-27 13:04:55.948548
31;265v5r0vty;13140.4;2022-07-27 13:04:55.965557;2022-07-27 13:04:55.965557
32;kmrwah4fv4;12151.2;2022-07-27 13:04:55.979777;2022-07-27 13:04:55.979777
33;zsn593g77a;9474.31;2022-07-27 13:04:55.995242;2022-07-27 13:04:55.995242
34;djn40t6dic;10385.8;2022-07-27 13:04:56.013380;2022-07-27 13:04:56.013380
35;liivfkwh7z;9999.44;2022-07-27 13:04:56.027504;2022-07-27 13:04:56.027504
36;uiew8ctfdb;6347.33;2022-07-27 13:04:56.045345;2022-07-27 13:04:56.045345
37;5db2ozlrew;18143.8;2022-07-27 13:04:56.059012;2022-07-27 13:04:56.059012
38;13tm85c0re;9942.97;2022-07-27 13:04:56.075805;2022-07-27 13:04:56.075805
39;bzdk8wnlbm;14660.6;2022-07-27 13:04:56.091190;2022-07-27 13:04:56.091190
40;q3fmmvlpbb;11782.6;2022-07-27 13:04:56.107659;2022-07-27 13:04:56.107659
41;sfhl4bcaog;11394.8;2022-07-27 13:04:56.123628;2022-07-27 13:04:56.123628
42;6i8vviryjx;4813.79;2022-07-27 13:04:56.150316;2022-07-27 13:04:56.150316
43;qsl11j9xkx;9380.53;2022-07-27 13:04:56.177762;2022-07-27 13:04:56.177762
44;laf07y1lhe;7808.35;2022-07-27 13:04:56.205452;2022-07-27 13:04:56.205452
45;fyl22u0yj4;3160.17;2022-07-27 13:04:56.231018;2022-07-27 13:04:56.231018
46;4qdpschvdy;8527.58;2022-07-27 13:04:56.248136;2022-07-27 13:04:56.248136
47;8jkddc9jgp;8456.2;2022-07-27 13:04:56.266570;2022-07-27 13:04:56.266570
48;cpcz999q8f;8029.22;2022-07-27 13:04:56.301235;2022-07-27 13:04:56.301235
49;84xgqnhj66;9956.01;2022-07-27 13:04:56.334003;2022-07-27 13:04:56.334003
50;zpc70lrb9g;10499.5;2022-07-27 13:04:56.364219;2022-07-27 13:04:56.364219
51;yhzocjaw71;5930.97;2022-07-27 13:04:56.395044;2022-07-27 13:04:56.395044
52;jzhx52cldf;9706.31;2022-07-27 13:04:56.429872;2022-07-27 13:04:56.429872
53;28ylj21ws3;6688.5;2022-07-27 13:04:56.458088;2022-07-27 13:04:56.458088
54;m3ugeknh58;3814.16;2022-07-27 13:04:56.487771;2022-07-27 13:04:56.487771
55;2x3e9owj47;4467.88;2022-07-27 13:04:56.518783;2022-07-27 13:04:56.518783
56;44i2nkh3p7;9209.76;2022-07-27 13:04:56.550107;2022-07-27 13:04:56.550107
57;m178umnd0u;12399.7;2022-07-27 13:04:56.580757;2022-07-27 13:04:56.580757
58;iumivd230o;6005.81;2022-07-27 13:04:56.609258;2022-07-27 13:04:56.609258
59;gi5zktb1l1;4479.93;2022-07-27 13:04:56.628839;2022-07-27 13:04:56.628839
60;u3yxlwmgbt;10355.0;2022-07-27 13:04:56.658094;2022-07-27 13:04:56.658094
61;r972a9o2qj;2562.57;2022-07-27 13:04:56.680364;2022-07-27 13:04:56.680364
62;mlz6rv9gol;7660.42;2022-07-27 13:04:56.700271;2022-07-27 13:04:56.700271
63;41sxgdg1e1;10786.4;2022-07-27 13:04:56.726438;2022-07-27 13:04:56.726438
64;lhdheccop8;2841.19;2022-07-27 13:04:56.760541;2022-07-27 13:04:56.760541
65;1rj3gxnfnb;9157.11;2022-07-27 13:04:56.790774;2022-07-27 13:04:56.790774
66;rzg6s2hfub;8168.24;2022-07-27 13:04:56.817962;2022-07-27 13:04:56.817962
67;0wd3pgwisa;11845.8;2022-07-27 13:04:56.841287;2022-07-27 13:04:56.841287
68;tgrzfz4mvg;10246.9;2022-07-27 13:04:56.866619;2022-07-27 13:04:56.866619
69;6hrqwwn766;3594.45;2022-07-27 13:04:56.894039;2022-07-27 13:04:56.894039
70;klunwp37xh;44795.0;2022-07-27 13:04:56.921656;2022-07-27 13:04:56.921656
71;0nqxtk8aoi;42909.4;2022-07-27 13:04:56.950510;2022-07-27 13:04:56.950510
72;0myl70locj;28503.8;2022-07-27 13:04:56.979776;2022-07-27 13:04:56.979776
73;f75lqjocbp;48348.2;2022-07-27 13:04:57.005197;2022-07-27 13:04:57.005197
74;e4vw10143r;31520.8;2022-07-27 13:04:57.028218;2022-07-27 13:04:57.028218
75;v19hwl0eed;19727.0;2022-07-27 13:04:57.051541;2022-07-27 13:04:57.051541
76;4lv5k2lgxl;53034.1;2022-07-27 13:04:57.073671;2022-07-27 13:04:57.073671
77;kqgbjvi6dm;30509.1;2022-07-27 13:04:57.095842;2022-07-27 13:04:57.095842
78;kbnfvlswcf;47972.8;2022-07-27 13:04:57.118179;2022-07-27 13:04:57.118179
79;mjeqrorld2;48663.9;2022-07-27 13:04:57.140496;2022-07-27 13:04:57.140496
80;ewpxgeksnm;26769.5;2022-07-27 13:04:57.162487;2022-07-27 13:04:57.162487
81;q1o1zqrtv8;35232.3;2022-07-27 13:04:57.185315;2022-07-27 13:04:57.185315
82;ah8x9ots9r;48596.5;2022-07-27 13:04:57.213653;2022-07-27 13:04:57.213653
83;6qvazczo00;27418.5;2022-07-27 13:04:57.241035;2022-07-27 13:04:57.241035
84;3k9fm8iqb8;16911.1;2022-07-27 13:04:57.278631;2022-07-27 13:04:57.278631
85;g8ujhrc2ez;30431.0;2022-07-27 13:04:57.304285;2022-07-27 13:04:57.304285
86;j531ph0mr7;28914.8;2022-07-27 13:04:57.328502;2022-07-27 13:04:57.328502
87;q2k7k0j8c6;53007.0;2022-07-27 13:04:57.353070;2022-07-27 13:04:57.353070
88;hiafdwugdc;53327.4;2022-07-27 13:04:57.377967;2022-07-27 13:04:57.377967
89;5zs19p41hv;22930.9;2022-07-27 13:04:57.400824;2022-07-27 13:04:57.400824
90;msbw9pqpa9;19125.2;2022-07-27 13:04:57.424509;2022-07-27 13:04:57.424509
91;wxjofvlvkv;34263.8;2022-07-27 13:04:57.449988;2022-07-27 13:04:57.449988
92;bzrzi0dwu6;44718.9;2022-07-27 13:04:57.475160;2022-07-27 13:04:57.475160
93;ajizndph8y;17142.7;2022-07-27 13:04:57.497942;2022-07-27 13:04:57.497942
94;8n46x86so0;56288.9;2022-07-27 13:04:57.522680;2022-07-27 13:04:57.522680
95;trxsotdyvm;36893.6;2022-07-27 13:04:57.546750;2022-07-27 13:04:57.546750
96;qyiz40sx4w;36257.8;2022-07-27 13:04:57.570826;2022-07-27 13:04:57.570826
97;7payofkpxx;29025.2;2022-07-27 13:04:57.605612;2022-07-27 13:04:57.605612
98;jt65p53pay;26770.2;2022-07-27 13:04:57.626813;2022-07-27 13:04:57.626813
99;nfcygm3gk7;21669.0;2022-07-27 13:04:57.658492;2022-07-27 13:04:57.658492
100;57oysypec7;52031.5;2022-07-27 13:04:57.690253;2022-07-27 13:04:57.690253
101;n94oyio20o;26038.0;2022-07-27 13:04:57.721736;2022-07-27 13:04:57.721736
102;rj6nmnejui;35579.0;2022-07-27 13:04:57.750128;2022-07-27 13:04:57.750128
103;s24xbigj1t;47555.8;2022-07-27 13:04:57.780291;2022-07-27 13:04:57.780291
104;g5w5qxqp73;52905.5;2022-07-27 13:04:57.803110;2022-07-27 13:04:57.803110
105;cntdg202zd;43629.7;2022-07-27 13:04:57.829832;2022-07-27 13:04:57.829832
106;k2nren2j9n;52217.6;2022-07-27 13:04:57.860346;2022-07-27 13:04:57.860346
107;3anl7ypuce;28084.9;2022-07-27 13:04:57.883820;2022-07-27 13:04:57.883820
108;vun360q8mc;20668.2;2022-07-27 13:04:57.911719;2022-07-27 13:04:57.911719
109;m84zy51c8e;51847.8;2022-07-27 13:04:57.940165;2022-07-27 13:04:57.940165
